"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
2324,"Basis: Evaluating Sirtuin Supplements To Benefit Elderly Trauma Patients (BES2T BET)","Recruiting","No Results Available","Recovery of Function","Dietary Supplement: Nicotinamide Riboside and Pterostilbene|Dietary Supplement: Placebo","Penn Presbyterian Medical Center, Philadelphia, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT03635411"
2325,"Postpartum Perineal Pain After Obstetric Anal Sphincter Injuries","Recruiting","No Results Available","Pain|Postpartum Depression","Drug: Epidural saline + IV saline|Drug: Epidural morphine 3 mg + IV saline|Drug: Epidural morphine 3 mg + IV ketamine 0.3 mg/kg","Northwestern University, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT03470675"
2326,"Resuscitation With Plasma in Surgical and Trauma Patients With Septic Shock","Enrolling by invitation","No Results Available","Septic Shock","Drug: Plasma|Drug: Balanced crystalloids","The University of Texas Health Science Center at Houston, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT03366220"
2327,"Simulated Clinical Use Testing on the DropSafe Safety Pen Needle","Completed","No Results Available","Needle Stick","Device: DropSafe safety pen needle","NAMSA, Golden Valley, Minnesota, United States|NAMSA, Minneapolis, Minnesota, United States","https://ClinicalTrials.gov/show/NCT03803488"
2328,"Methylsulfonylmethane on Knee Laxity","Recruiting","No Results Available","Ligament Injury|Ligament; Laxity|Tendon Rupture|Tendon Injuries","Dietary Supplement: methylsulfonylmethane|Other: Placebo","Neurobiology, Physiology & Behaviour, Davis, California, United States","https://ClinicalTrials.gov/show/NCT03747198"
2329,"Video Discharge Instructions (VDI) as Adjuncts to Written Discharge Instructions in the Emergency Department","Completed","No Results Available","Urinary Tract Infection|Head Injury|Laceration","Other: Video discharge instructions","George Washington University Hospital, Washington, District of Columbia, United States","https://ClinicalTrials.gov/show/NCT02882256"
2330,"Effects of Talocrural Joint Mobilizations in the Treatment of Subacute Lateral Ankle Sprains","Unknown status","No Results Available","Ankle Sprain","Other: Mobilization therapy in addition to standard therapy|Other: Sham intervention","University of Virginia, Charlottesville, Virginia, United States","https://ClinicalTrials.gov/show/NCT01117909"
2331,"Amantadine for Treatment of Symptoms of the Post-traumatic Confusional State","Completed","No Results Available","Traumatic Brain Injury|Posttraumatic Confusional State|Delirium","Drug: Amantadine hydrochloride|Drug: Placebo capsule","Methodist Rehabilitation Center, Jackson, Mississippi, United States","https://ClinicalTrials.gov/show/NCT00693121"
2332,"Weight-Based Enoxaparin Dosing and Real-Time Dose Adjustment in Orthopaedic Trauma","Recruiting","No Results Available","Venous Thromboembolism|Deep Vein Thrombosis|Pulmonary Embolus","Drug: Enoxaparin","University of Utah, Salt Lake City, Utah, United States","https://ClinicalTrials.gov/show/NCT03339349"
2333,"Implementing Alcohol Misuse SBIRT in a National Cohort of Pediatric Trauma Centers","Recruiting","No Results Available","Alcohol Drinking","Other: SSL Implementation Strategy","Rhode Island Hospital, Providence, Rhode Island, United States","https://ClinicalTrials.gov/show/NCT03297060"
2334,"A Randomized Controlled Trial of Trauma-awareness Training for Early Childhood Educators","Completed","No Results Available","Burnout, Professional","Behavioral: Enhancing Trauma Awareness (Diane Wagenhals, MEd—Lakeside Global Institute)","Temple University, Philadelphia, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT03303482"
2335,"Web-Based Treatment of Heavy Drinking Among Women With a History of Sexual Trauma","Completed","No Results Available","Sexual Assault|Heavy Drinking","Behavioral: Alc-ERDT","University of Washington, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT03111056"
2336,"The Use of Intranasal Calcitonin to Improve Pain and Activity in Elderly Pelvic Ring Injuries","Recruiting","No Results Available","Pelvic Ring Fractures","Drug: Miacalcin Calcitonin Salmon Nasal Spray","University of Missouri Health System, Columbia, Missouri, United States","https://ClinicalTrials.gov/show/NCT03812991"
2337,"Brain and Gut Plasticity in Mild TBI Following Growth Hormone Therapy","Recruiting","No Results Available","Traumatic Brain Injury|Fatigue|Cognitive Impairment","Drug: Somatropin","University of Texas Medical Branch, Galveston, Texas, United States","https://ClinicalTrials.gov/show/NCT03554265"
2338,"Safety and Performance Evaluation of ReWalk Reciprocating Gait Orthosis (RGO)","Completed","No Results Available","Paraplegia|Spinal Cord Injuries (SCI)","Device: ReWalk - a motorized exoskeleton suit","Albert Einstein Medical Center, Moss Rehabilitation Center, Elkins Park, Pennsylvania, United States|Ospedale Valduce di Como, Centro Villa Beretta Italy, Como, Italy","https://ClinicalTrials.gov/show/NCT01251549"
2339,"Early Identification of Suspected Deep Tissue Injury (sDTI)","Unknown status","No Results Available","Pressure Ulcer|Bed Sore","Other: No Intervention","Kindred Hospital Dayton, Dayton, Ohio, United States","https://ClinicalTrials.gov/show/NCT02705443"
2340,"Development and Validation of a Digital Pain-Reduction Kit for Musculoskeletal Injuries","Recruiting","No Results Available","Pain, Acute|Pain, Chronic","Device: Digital Pain Reduction Kit|Device: Active Control","Cedars-Sinai Medical Center, Los Angeles, California, United States","https://ClinicalTrials.gov/show/NCT03187132"
2341,"Disorders of the Acute Phase Response Following Trauma and Invasive Surgery","Enrolling by invitation","No Results Available","Acute Phase Response","Procedure: Blood draw (venipuncture or fingerstick)","Vanderbilt Univeristy Medical Center, Nashville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT03741023"
2342,"Evaluating Myocardial Injury for Defibrillation Threshold Testing Methods for ICD Implantation","Completed","Has Results","Cardiomyopathy|Heart Failure|Cardiac Arrhythmia","Device: Standard Defibrillation Testing|Device: Upper Limit of Vulnerability Testing","UCSD Sulpizio Cardiovascular Center, La Jolla, California, United States","https://ClinicalTrials.gov/show/NCT02111993"
2343,"Evaluating Trauma-Informed, Evidence-Informed Interventions for Latino Families Experiencing Domestic Violence","Active, not recruiting","No Results Available","Interpersonal Relations","Behavioral: SafeCare+ (SC+)|Behavioral: SafeCare (SC)","UC San Diego, La Jolla, California, United States","https://ClinicalTrials.gov/show/NCT03041558"
2344,"A Feasibility Study Evaluating the Use of SafeBreak Vascular in the Geriatric Trauma Population","Active, not recruiting","No Results Available","IV Dislodgement","Device: SafeBreak Vascular","Barnes-Jewish Hospital, Saint Louis, Missouri, United States","https://ClinicalTrials.gov/show/NCT03505957"
2345,"The NGAL Test™ As An Aid in the Risk Assessment for AKI Stage II and III in an Intensive Care Population","Unknown status","No Results Available","Kidney Injury","Device: NGAL Test","Colorado Kidney Care, Denver, Colorado, United States|Massachusetts General Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT03057457"
2346,"Effects of a Surgical Site Injection on Pain Scores and Narcotic Use After Orthopaedic Trauma Surgery","Not yet recruiting","No Results Available","Pertrochanteric Fracture","Drug: Marcaine, Duramorph , ketorolac|Drug: Bupivacaine (Marcaine)|Drug: General Anesthetics","New York University Langone Health, New York, New York, United States","https://ClinicalTrials.gov/show/NCT03693404"
2347,"A Biologic Joint Replacement Strategy for Knee Trauma and Post-Traumatic Osteoarthritis","Recruiting","No Results Available","Knee Osteoarthritis|Post-traumatic Osteoarthritis","Procedure: Unicompartmental Biologic Arthroplasty|Procedure: Extensive Biologic Arthroplasty","Missouri Orthopaedic Institute, Columbia, Missouri, United States","https://ClinicalTrials.gov/show/NCT03719417"
2348,"Non-Opiate Treatment After Prenatal Opiate Exposure to Prevent Postnatal Injury to the Young Brain","Recruiting","No Results Available","Neonatal Abstinence Syndrome","Drug: Clonidine|Drug: Morphine","The University of Kentucky Medical Center, Lexington, Kentucky, United States","https://ClinicalTrials.gov/show/NCT03396588"
2349,"A Patient Education Video Program for Post-Operative Recovery After Upper Extremity Surgery","Active, not recruiting","No Results Available","Analgesics, Opioid|Orthopedic Surgery|Ambulatory Surgery|Education, Patient|Injuries and Wounds","Behavioral: Pain Management Patient Education Video|Behavioral: Wound Care Patient Education Video","Institute for Orthopedics and Neurosciences, Roanoke, Virginia, United States","https://ClinicalTrials.gov/show/NCT03366805"
2350,"Post-traumatic Arthritis Associated With Joint Injury","Completed","No Results Available","Arthritis","Procedure: Tissue sample collection at the time of surgery","Duke University Medical Center, Durham, North Carolina, United States","https://ClinicalTrials.gov/show/NCT01792791"
2351,"MRSA in a Trauma Population: Does Decolonization Prevent Infection?","Completed","No Results Available","MRSA Colonization","Drug: Chlorhexidine, Mupirocin|Drug: Soap baths, Lubricating Jelly","Erlanger Hospital, Chattanooga, Tennessee, United States","https://ClinicalTrials.gov/show/NCT01820455"
2352,"Trauma-Focused Cognitive Behavior Therapy for Youth: Effectiveness in a Community Setting","Unknown status","No Results Available","Posttraumatic Stress Disorder","Behavioral: Trauma-Focused Cognitive Behavioral Therapy","Division of Prevention and Behavioral Health Services, Wilmington, Delaware, United States","https://ClinicalTrials.gov/show/NCT01649141"
2353,"Prehospital Screening to Prevent Injury and Illness","Completed","No Results Available","All Conditions","Procedure: Education and referral","University of Rochester, Department of Emergency Medicine, Rochester, New York, United States","https://ClinicalTrials.gov/show/NCT00382655"
2354,"Proof-of-concept Study of NSAID Hydrogel Patch in Treatment of Acute Pain","Unknown status","No Results Available","Ankle Sprain","Drug: Esflurbiprofen Hydrogel Patch","SNBL Clinical Pharmacology Center, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT02729207"
2355,"Brain Cell Injury in Patients With A First Episode of Psychosis","Completed","No Results Available","Psychoses",,"Medical College of Georgia, Augusta, Georgia, United States","https://ClinicalTrials.gov/show/NCT00070889"
2356,"Expanded Access for Single Patient Treatment of Autologous Human Schwann Cells (ahSC) for Peripheral Nerve Repair","No longer available","No Results Available","Sciatic Nerve Injury","Biological: Autologous Human Schwann cells","University of Miami Miller School of Medicine, Miami, Florida, United States","https://ClinicalTrials.gov/show/NCT02480777"
2357,"Brief Counseling to Reduce Injuries Among Emergency Department Patients Who Report Alcohol and Substance Use","Unknown status","No Results Available","Alcohol Drinking|Marijuana Smoking","Behavioral: brief counseling","Injury Prevention Center, Rhode Island Hospital, Brown University, Providence, Rhode Island, United States","https://ClinicalTrials.gov/show/NCT00547963"
2358,"ACT-ICU Study: Activity and Cognitive Therapy in the Intensive Care Unit","Completed","No Results Available","Brain Injuries|Dementia|Myopathies|Muscle Disorders","Behavioral: Behavioral: Physical and functional rehabilitation|Behavioral: Behavioral: Cognitive, physical, & functional rehabilitation","Vanderbilt University Medical Center, Nashville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT01270269"
2359,"Effects of Intramuscular Oxytocin on Sensory Function in Healthy Volunteers With Ultraviolet Burn Injury to the Skin","Recruiting","No Results Available","Chronic Pain","Drug: Oxytocin|Other: Placebo","Wake Forest Baptist Health, Winston-Salem, North Carolina, United States","https://ClinicalTrials.gov/show/NCT03935399"
2360,"Assessment of Neurologic Injury Subsequent to Transcatheter Aortic Valve Replacement: A Feasibility Study","Withdrawn","No Results Available","Severe Symptomatic Aortic Stenosis",,"University of Michigan, Ann ARbor, Michigan, United States","https://ClinicalTrials.gov/show/NCT01927601"
2361,"The IM ABLE Study: A Study of Warriors & Veterans Following Neuromusculoskeletal Injury of the Lower Limb","Recruiting","No Results Available","Limb Salvage|Braces|Lower Extremity","Device: Advanced orthotic brace|Device: Conventional orthotic brace","New York VA, New York, New York, United States|Hanger, Inc, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT03107728"
2362,"Non-steroidal Anti-inflammatory Affect on Kidneys in Endurance Distances","Completed","Has Results","Acute Kidney Injury|Exercise-associated Hyponatremia|Perceived Exertion","Drug: Ibuprofen|Drug: Placebo","Stanford University, Stanford, California, United States","https://ClinicalTrials.gov/show/NCT02272725"
